#Digilent WaveForms Logger;;;;
#Device Name: Discovery;;;;
#Serial Number: SN:210244449844;;;;
#Date Time: 2017-02-04 17:52::30.935;;;;
;;;;
Time (s);C1 DC (V);C2 DC (V);Sense-Power (W);Current (A)
296;-0.002726418;12.59413609;6.76E-07;-0.000247856
297;-0.002616178;12.5941432;6.22E-07;-0.000237834
298;-0.00279295;12.5945298;7.09E-07;-0.000253905
299;-0.002468474;12.59440115;5.54E-07;-0.000224407
300;-0.002972305;12.59434577;8.03E-07;-0.00027021
301;-0.003343719;12.59410743;1.02E-06;-0.000303974
302;-0.002964123;12.59475585;7.99E-07;-0.000269466
303;-0.002598307;12.59411864;6.14E-07;-0.00023621
304;-0.002246272;12.59442076;4.59E-07;-0.000204207
305;-0.001967227;12.59414256;3.52E-07;-0.000178839
306;-0.001962921;12.59388827;3.50E-07;-0.000178447
307;-0.001987036;12.59391866;3.59E-07;-0.00018064
308;-0.002147874;12.59367515;4.19E-07;-0.000195261
309;-0.00291697;12.59336721;7.74E-07;-0.000265179
310;-0.00334092;12.59321184;1.01E-06;-0.00030372
311;-0.00332068;12.59358357;1.00E-06;-0.00030188
312;-0.003440609;12.5940708;1.08E-06;-0.000312783
313;-0.003408958;12.5939178;1.06E-06;-0.000309905
314;-0.002633188;12.59395357;6.30E-07;-0.000239381
315;-0.002395053;12.59432874;5.21E-07;-0.000217732
316;-0.002812974;12.59476792;7.19E-07;-0.000255725
317;-0.002610796;12.5947621;6.20E-07;-0.000237345
318;-0.003032592;12.59461707;8.36E-07;-0.00027569
319;-0.00264826;12.59484442;6.38E-07;-0.000240751
320;-0.002909003;12.593648;7.69E-07;-0.000264455
321;-0.003553433;12.59367731;1.15E-06;-0.000323039
322;-0.003398623;12.59466599;1.05E-06;-0.000308966
323;-0.00340293;12.5948748;1.05E-06;-0.000309357
324;-0.003486471;12.59439468;1.11E-06;-0.000316952
325;-0.003598003;12.59402339;1.18E-06;-0.000327091
326;-0.003773482;12.5943365;1.29E-06;-0.000343044
327;-0.003615012;12.59444274;1.19E-06;-0.000328637
328;-0.003691879;12.59475973;1.24E-06;-0.000335625
329;-0.003169531;12.59460931;9.13E-07;-0.000288139
330;-0.002559982;12.59437227;5.96E-07;-0.000232726
331;-0.002589695;12.59439124;6.10E-07;-0.000235427
332;-0.002798117;12.59465241;7.12E-07;-0.000254374
333;-0.002978764;12.59475175;8.07E-07;-0.000270797
334;-0.003019028;12.5950153;8.29E-07;-0.000274457
335;-0.002887902;12.59509999;7.58E-07;-0.000262537
336;-0.002795964;12.59550016;7.11E-07;-0.000254179
337;-0.002801347;12.59473947;7.13E-07;-0.000254668
338;-0.00324812;12.59461082;9.59E-07;-0.000295284
339;-0.003307546;12.59461125;9.95E-07;-0.000300686
340;-0.002840103;12.59495863;7.33E-07;-0.000258191
341;-0.003540729;12.59405248;1.14E-06;-0.000321884
342;-0.003586376;12.59469982;1.17E-06;-0.000326034
343;-0.00318611;12.59501854;9.23E-07;-0.000289646
344;-0.003315728;12.59475326;9.99E-07;-0.00030143
345;-0.003337905;12.59474227;1.01E-06;-0.000303446
346;-0.003371925;12.59457246;1.03E-06;-0.000306539
