#Digilent WaveForms Logger
#Device Name: Discovery
#Serial Number: SN:210244449844
#Date Time: 2017-02-06 09:28::28.907

Time (s),C1 DC (V),C2 DC (V),Sense-Power (W),Current (A),Battery Power (W)
136,0.071821168194216148,12.454842547811532,0.00046893456370744412,0.0065291971085651044,0.081320121950804694
137,0.071984374936880383,12.454700322486547,0.00047106820318667023,0.0065440340851709439,0.081503983430941507
138,0.0702592925855796,12.454847288655648,0.00044876074496600737,0.006387208416870873,0.079551705432942724
139,0.070824702752140145,12.454879181607444,0.00045601259272081888,0.0064386093411036493,0.08019210144101506
140,0.07087723895955142,12.454902885828121,0.00045668936386630485,0.0064433853599592198,0.080251738914258755
141,0.072086863603788062,12.454529652096815,0.00047241053674828578,0.0065533512367080054,0.081618907298185189
142,0.072126050447014797,12.454036604303194,0.00047292428664412033,0.0065569136770013449,0.081660042944631014
143,0.0721833235255748,12.454111164852517,0.00047367565410889097,0.0065621203205068002,0.08172537594872932
144,0.069791634214759438,12.453728449432221,0.00044280656421516186,0.0063446940195235856,0.079015096413883351
145,0.069833835430541516,12.454097804291395,0.00044334223372181414,0.0063485304936855922,0.079065219681886706
146,0.069916084738856826,12.454600764759181,0.00044438717320100071,0.0063560077035324384,0.079161538405230353
147,0.071715665154755276,12.454502499989159,0.00046755787532627089,0.0065196059231595709,0.081198448268935006
148,0.071562362779052216,12.454387426771843,0.00046556106968369802,0.0065056693435502017,0.081024126475046657
149,0.071457290364242629,12.454251235248377,0.00046419494056360749,0.0064961173058402386,0.080904276980579157
150,0.070068095240603381,12.453786632519929,0.00044632163369511506,0.0063698268400548532,0.079328464352141789
151,0.069600436869783677,12.454133145129616,0.00044038371022406752,0.0063273124427076074,0.078801191612315843
152,0.070170153282857334,12.454568440821772,0.00044762276470360855,0.0063791048438961214,0.079448997869481924
153,0.071578726515783814,12.454318038052699,0.00046577400814739754,0.006507156955980347,0.081042202253306134
154,0.071208819940703605,12.45449043238586,0.0004609723670315952,0.0064735290855185094,0.080624506059361875
155,0.071485280966547687,12.454646880243308,0.00046455867226056954,0.0064986619060497901,0.080938539233939039
156,0.069980678436481647,12.454630502781724,0.00044520866858456797,0.0063618798578619681,0.07923486293276033
157,0.069642638085565645,12.454342173258977,0.00044091791268337075,0.0063311489168696037,0.078850294960552014
158,0.069751586122230522,12.454636967569151,0.00044229852423335832,0.0063410532838391381,0.078975516642228696
159,0.070928913917650438,12.454609815461586,0.00045735552995795144,0.0064480830834227672,0.080308358861709006
160,0.070707142222461147,12.454780485851694,0.00045449999647884982,0.0064279220202237411,0.08005835774205905
161,0.070915564553473032,12.454850736542424,0.00045718339053980005,0.006446869504861185,0.08029479740101321
162,0.069679241180888113,12.454850736542442,0.00044138151377676128,0.0063344764709898282,0.078894958940318435
163,0.069178855336601966,12.45475850557405,0.00043506491142568203,0.0062889868487819968,0.078327812446310915
164,0.069412253897361872,12.454776175993352,0.00043800554464652991,0.0063102048997601698,0.078592189651169486
165,0.070876808334898025,12.4546697224925,0.00045668381452198826,0.0064433462122634568,0.080249748981414404
166,0.070598194185796326,12.454776606979188,0.00045310045657230964,0.0064180176532542118,0.079934976130930022
167,0.070655036639709401,12.454507671819272,0.00045383038205078891,0.0064231851490644913,0.079997608716539326
168,0.069065601053428946,12.454519739422473,0.00043364156807921867,0.0062786910048571766,0.078198081057728033
169,0.068906269932615088,12.454718854877534,0.00043164309418421945,0.0062642063575104627,0.078018929031729273
170,0.069184022832411374,12.454652052073367,0.00043512991047960168,0.0062894566211283065,0.078332993812762097
171,0.070451351179856542,12.454714545019113,0.00045121753482431582,0.0064046682890778672,0.0797683152960008
172,0.070707572847111266,12.454735663325035,0.00045450553253904966,0.0064279611679192057,0.080058557200551786
173,0.070398384347803503,12.454726181636689,0.0004505393198891878,0.006399853122527591,0.079708418243773713
174,0.069127611003150638,12.454823153449176,0.00043442060027299215,0.0062843282730136946,0.078270197278606235
175,0.068815408131285588,12.454662826719234,0.00043050549057049148,0.0062559461937532349,0.077915700505294103
176,0.068265069827497984,12.454537409841667,0.00042364725077756145,0.0062059154388634527,0.07729180599563884
177,0.069624982474875072,12.454789967539989,0.00044069438042060555,0.0063295438613522794,0.078833139383474693
178,0.06950268507403419,12.454832204151666,0.00043914756659094319,0.0063184259158212902,0.078694934575917488
179,0.069566848147013333,12.454583956311632,0.00043995876010087379,0.0063242589224557577,0.078766013711178168
180,0.068525597741262975,12.454328812698309,0.00042688704961794417,0.0062295997946602705,0.077585484214216877
181,0.068357223502782186,12.454299074675761,0.00042479181863721064,0.0062142930457074717,0.077394664128918586
182,0.068353347880923385,12.454323209882279,0.00042474365150277571,0.0062139407164475803,0.077390426089685618
183,0.069840294800299699,12.45425468313495,0.00044342425252661544,0.0063491177091181544,0.079073528962559828
184,0.0691357928715121,12.454372773253112,0.00043452344145205669,0.006285072079228373,0.078276630581475173
185,0.069450148866632672,12.454631795739092,0.00043848392523613086,0.0063136498969666062,0.07863418475392514
186,0.068080762476936008,12.45473437036755,0.00042136274722190707,0.0061891602251760011,0.077084346580211294
187,0.067906790117994012,12.454757643602493,0.00041921201310266264,0.0061733445561812737,0.076887510297690559
188,0.067872770770575214,12.454857201329979,0.00041879209200682265,0.0061702518882341103,0.076849606164192508
189,0.069535843172149267,12.45465119010165,0.00043956668051470341,0.006321440288377206,0.078731333810793683
190,0.069546608788421921,12.454277094398346,0.00043970279945180043,0.0063224189807656291,0.078741157893338715
